1,150,100,1,43.189,24.46,130.82,0.0076439,215.27,1366.4
2,500,100,1,43.189,24.46,463.01,0.0021598,189.39,1366.4
3,850,100,1,43.189,24.46,810.34,0.0012341,185.35,1366.4
1,150,100,1,41.963,65.875,113.3,0.0088262,197.53,1338.1
2,500,100,1,41.963,65.875,459.31,0.0021772,184.26,1338.1
3,850,100,1,41.963,65.875,808.76,0.0012365,182.42,1338.1
1,150,100,1,31.066,51.143,128.58,0.0077774,202.33,1356.2
2,500,100,1,31.066,51.143,471.47,0.002121,185.95,1356.2
3,850,100,1,31.066,51.143,820.39,0.0012189,183.41,1356.2
1,150,100,1,68.919,48.703,95.946,0.010423,212.32,1331.1
2,500,100,1,68.919,48.703,434.12,0.0023035,186.79,1331.1
3,850,100,1,68.919,48.703,782.76,0.0012775,183.76,1331.1
1,150,100,1,41.172,67.476,113.58,0.0088041,196.64,1337.5
2,500,100,1,41.172,67.476,459.98,0.002174,184.05,1337.5
3,850,100,1,41.172,67.476,809.48,0.0012354,182.3,1337.5
1,150,100,1,26.086,70.438,127.39,0.0078498,193.42,1346.3
2,500,100,1,26.086,70.438,474.84,0.002106,183.57,1346.3
3,850,100,1,26.086,70.438,824.44,0.0012129,182.05,1346.3
1,150,100,1,57.415,41.188,109.69,0.009117,212.42,1344.5
2,500,100,1,57.415,41.188,446.48,0.0022398,187.57,1344.5
3,850,100,1,57.415,41.188,794.76,0.0012582,184.24,1344.5
1,150,100,1,25.273,79.418,126.41,0.0079105,189.37,1340.7
2,500,100,1,25.273,79.418,475.17,0.0021045,182.48,1340.7
3,850,100,1,25.273,79.418,824.98,0.0012121,181.43,1340.7
1,150,100,1,25.049,68.139,128.95,0.007755,194.3,1348.7
2,500,100,1,25.049,68.139,476.02,0.0021008,183.84,1348.7
3,850,100,1,25.049,68.139,825.57,0.0012113,182.21,1348.7
1,150,100,1,29.409,77.592,122.66,0.0081529,190.53,1339
2,500,100,1,29.409,77.592,471.12,0.0021226,182.73,1339
3,850,100,1,29.409,77.592,820.9,0.0012182,181.56,1339
1,150,100,1,68.106,27.25,109.54,0.009129,221.62,1347.1
2,500,100,1,68.106,27.25,437.98,0.0022832,189.56,1347.1
3,850,100,1,68.106,27.25,785.27,0.0012734,185.32,1347.1
1,150,100,1,72.537,72.036,82.356,0.012142,199.85,1312
2,500,100,1,72.537,72.036,428.38,0.0023344,183.74,1312
3,850,100,1,72.537,72.036,777.97,0.0012854,182.06,1312
1,150,100,1,47.364,22.593,128.55,0.0077789,217.02,1364.9
2,500,100,1,47.364,22.593,459.21,0.0021777,189.7,1364.9
3,850,100,1,47.364,22.593,806.36,0.0012401,185.51,1364.9
1,150,100,1,28.992,79.411,122.75,0.0081468,189.66,1338
2,500,100,1,28.992,79.411,471.46,0.0021211,182.5,1338
3,850,100,1,28.992,79.411,821.27,0.0012176,181.44,1338
1,150,100,1,49.512,75.829,103.35,0.0096755,193.52,1325.7
2,500,100,1,49.512,75.829,451.14,0.0022166,183.07,1325.7
3,850,100,1,49.512,75.829,800.85,0.0012487,181.73,1325.7
1,150,100,1,23.271,38.556,140.84,0.0071003,205.87,1370.5
2,500,100,1,23.271,38.556,480.67,0.0020804,187.34,1370.5
3,850,100,1,23.271,38.556,829.01,0.0012063,184.25,1370.5
1,150,100,1,72.667,22.207,109.69,0.0091165,225.17,1347.6
2,500,100,1,72.667,22.207,434.36,0.0023023,190.32,1347.6
3,850,100,1,72.667,22.207,781.22,0.0012801,185.71,1347.6
1,150,100,1,77.659,50.607,87.595,0.011416,214.32,1323.7
2,500,100,1,77.659,50.607,425.22,0.0023517,186.67,1323.7
3,850,100,1,77.659,50.607,773.92,0.0012921,183.66,1323.7
1,150,100,1,74.77,54.426,87.957,0.011369,211.21,1322.9
2,500,100,1,74.77,54.426,427.66,0.0023383,186.12,1322.9
3,850,100,1,74.77,54.426,776.57,0.0012877,183.36,1322.9
1,150,100,1,63.351,74.217,90.404,0.011062,196.57,1317
2,500,100,1,63.351,74.217,437.41,0.0022862,183.38,1317
3,850,100,1,63.351,74.217,787.07,0.0012705,181.88,1317
1,150,100,1,67.138,55.128,94.231,0.010612,208.44,1327.8
2,500,100,1,67.138,55.128,435.18,0.0022979,185.92,1327.8
3,850,100,1,67.138,55.128,784.15,0.0012753,183.28,1327.8
1,150,100,1,67.459,64.897,89.695,0.011149,203.04,1320.6
2,500,100,1,67.459,64.897,433.96,0.0023043,184.64,1320.6
3,850,100,1,67.459,64.897,783.33,0.0012766,182.57,1320.6
1,150,100,1,38.854,50.129,121.82,0.0082087,204.17,1351.3
2,500,100,1,38.854,50.129,463.83,0.0021559,186.17,1351.3
3,850,100,1,38.854,50.129,812.68,0.0012305,183.52,1351.3
1,150,100,1,64.501,52.064,98.02,0.010202,209.28,1331.8
2,500,100,1,64.501,52.064,438.13,0.0022824,186.28,1331.8
3,850,100,1,64.501,52.064,786.96,0.0012707,183.49,1331.8
1,150,100,1,61.883,60.614,96.519,0.010361,204.08,1327.6
2,500,100,1,61.883,60.614,439.88,0.0022733,185.14,1327.6
3,850,100,1,61.883,60.614,789.1,0.0012673,182.86,1327.6
1,150,100,1,65.974,58.081,93.902,0.010649,206.51,1326.5
2,500,100,1,65.974,58.081,436.05,0.0022933,185.52,1326.5
3,850,100,1,65.974,58.081,785.15,0.0012736,183.06,1326.5
1,150,100,1,52.34,56.72,106.82,0.0093615,203.9,1337.1
2,500,100,1,52.34,56.72,449.75,0.0022235,185.52,1337.1
3,850,100,1,52.34,56.72,798.83,0.0012518,183.11,1337.1
